date,site,acc,col,rand,row,weight,t0,t1,t2,t3,t4,t5,survival,protocol,run_count,run_ID
8/21/2019,GB,24,35,0.792548696,B,0.0007,24,27.5,32.3,39.7,47,51.6,d,1,20,2
8/21/2019,GB,24,36,0.762453586,C,0.0016,24,27.5,32.8,40.7,48.6,52.7,d,1,20,2
8/21/2019,GB,24,37,0.662456525,C,0.001,24,27.6,33.5,41.8,50.5,54.5,0,1,20,2
8/21/2019,GB,24,38,0.837129625,C,0.0027,24,27.6,34.1,42.8,51.8,56.1,0,1,20,2
8/21/2019,HM,24,9,0.758518481,C,0.0011,24,21.5,18.3,17.5,18.3,20.8,1,1,25,3
8/21/2019,HM,24,10,0.801286679,C,0.0016,24,22.2,18.7,18.3,19,21.5,1,1,25,3
8/21/2019,HM,24,11,0.600033236,A,0.0023,24,22.3,19.1,19,20,22.2,1,1,25,3
8/21/2019,HM,24,12,0.305078002,A,0.0014,24,22.8,19.7,19.8,21,23,1,1,25,3
8/21/2019,HM,24,13,0.554347899,C,0.0011,24,23.4,20.3,20.6,21.9,24.4,1,1,25,3
8/21/2019,HM,24,14,0.1779084,A,0.0016,24,23.9,20.9,21.3,22.8,25.3,1,1,25,3
8/21/2019,HM,24,15,0.866552193,C,0.001,24,24.3,21.5,22,23.8,26.1,1,1,25,3
8/21/2019,HM,24,16,0.941914988,C,0.0011,24,24.7,21.9,22.8,24.6,27.2,1,1,25,3
8/21/2019,HM,24,17,0.816999286,B,0.0017,24,24.8,22.6,23.6,25.6,28.2,1,1,25,3
8/21/2019,HM,24,18,0.102153291,A,0.0009,24,25.2,23,24.3,26.5,29.2,1,1,25,3
8/21/2019,HM,24,19,0.313694394,A,0.0009,24,25.5,23.6,25,27.3,30.2,1,1,25,3
8/21/2019,HM,24,20,0.109362754,A,0.001,24,25.7,24.1,25.8,28.3,31.3,1,1,25,3
8/21/2019,HM,24,21,0.498400863,B,0.0011,24,25.9,24.5,26.5,29.3,32.3,1,1,25,3
8/21/2019,HM,24,22,0.157810154,A,0.001,24,26,25,27.2,30.3,33.3,1,1,25,3
8/21/2019,HM,24,23,0.19769971,A,0.0011,24,26.3,25.5,27.9,31.3,34.6,1,1,25,3
8/21/2019,HM,24,24,0.283826015,B,0.0012,24,26.3,25.9,28.9,32.4,35.6,1,1,25,3
8/21/2019,HM,24,25,0.101695135,A,0.001,24,26.6,26.4,29.7,33.5,37,1,1,25,3
8/21/2019,HM,24,26,0.134667358,B,0.0008,24,26.7,27,30.6,34.6,38.3,d,1,25,3
8/21/2019,HM,24,27,0.725477436,C,0.0007,24,26.8,27.5,31.5,35.8,39.6,d,1,25,3
8/21/2019,HM,24,28,0.263641383,B,0.0006,24,26.8,28,32,36.9,40.9,d,1,25,3
8/21/2019,HM,24,29,0.147563464,A,0.0011,24,27,28.6,33.3,38.3,42.1,0,1,25,3
8/21/2019,HM,24,30,0.443777586,B,0.001,24,27,29,34.1,39.5,43.8,d,1,25,3
8/21/2019,HM,24,31,0.158721221,B,0.0011,24,27.1,29.7,35.3,40.8,45,0,1,25,3
8/21/2019,HM,24,32,0.162501025,A,0.0007,24,27.2,30.2,36.3,42.3,46.4,0,1,25,3
8/21/2019,HM,24,33,0.664950305,C,0.0016,24,27.3,30.9,37.4,43.6,47.9,0,1,25,3
8/21/2019,HM,24,34,0.079878806,A,0.0015,24,27.3,31.6,38.4,45.5,49.8,0,1,25,3
8/21/2019,HM,24,35,0.316344412,A,0.0012,24,27.5,32.3,39.7,47,51.6,0,1,25,3
8/21/2019,HM,24,36,0.08928845,A,0.0005,24,27.5,32.8,40.7,48.6,52.7,0,1,25,3
8/21/2019,HM,24,37,0.489696008,B,0.0016,24,27.6,33.5,41.8,50.5,54.5,0,1,25,3
8/21/2019,HM,24,38,0.081077409,B,0.001,24,27.6,34.1,42.8,51.8,56.1,d,1,25,3
8/23/2019,BF,24,9,0.021149,A,0.0013,24,22.3,17.2,15.6,16,17.8,1,1,30,4
8/23/2019,BF,24,10,0.110311,B,0.0016,24,22.8,18.2,16.2,17.1,18.4,1,1,30,4
8/23/2019,BF,24,11,0.219699,C,0.0009,24,23.3,18.8,17,17.9,19.5,1,1,30,4
8/23/2019,BF,24,12,0.859069,C,0.0011,24,23.8,19.3,17.9,18.9,20.5,1,1,30,4
